,state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_population,state_area_sq_miles
0,Alaska,3,2280.0,345.0,4.0,580.0,665384,1723337
1,Arizona,2,1577.0,237.0,6.0,80.0,113990,295234
2,California,21,25948.0,2738.0,81.0,587.0,163695,423967
3,Colorado,22,43682.0,3258.0,74.0,428.0,104094,269601
4,Connecticut,5,358.0,353.0,10.0,256.0,5543,14357
5,Idaho,12,16396.0,1136.0,27.0,415.0,83569,216443
6,Illinois,4,191.0,221.0,6.0,191.0,57914,149995
7,Indiana,2,165.0,157.0,4.0,165.0,36420,94326
8,Iowa,3,140.0,100.0,5.0,140.0,56273,145746
9,Maine,9,3216.0,865.0,17.0,388.0,35380,91633
10,Maryland,1,172.0,121.0,3.0,118.0,12406,32131
11,Massachusetts,11,1166.0,671.0,18.0,583.0,10554,27336
12,Michigan,28,4406.0,2389.0,63.0,1946.0,96714,250487
13,Minnesota,14,1560.0,1490.0,29.0,1020.0,86936,225163
14,Missouri,2,60.0,69.0,2.0,47.0,69707,180540
15,Montana,12,21410.0,951.0,27.0,710.0,147040,380831
16,Nevada,4,2110.0,415.0,9.0,0.0,110572,286380
17,New Hampshire,16,3427.0,1847.0,43.0,376.0,9349,24214
18,New Jersey,2,190.0,170.0,4.0,181.0,8723,22591
19,New Mexico,9,5223.0,966.0,18.0,50.0,121590,314917
20,New York,33,5514.0,2384.0,72.0,2836.0,54555,141297
21,North Carolina,6,370.0,506.0,9.0,335.0,53819,139391
22,Ohio,5,421.0,489.0,12.0,421.0,44826,116098
23,Oregon,10,11774.0,1180.0,22.0,1127.0,98379,254799
24,Pennsylvania,19,1888.0,1404.0,47.0,1528.0,46054,119280
25,Rhode Island,1,30.0,100.0,1.0,30.0,1545,4001
26,South Dakota,2,950.0,183.0,3.0,0.0,77116,199729
27,Tennessee,1,0.0,83.0,1.0,0.0,42144,109153
28,Utah,13,30508.0,1544.0,26.0,642.0,84897,219882
29,Vermont,15,7239.0,1777.0,50.0,50.0,9616,24906
30,Virginia,4,269.0,366.0,4.0,135.0,42775,110787
31,Washington,10,15330.0,1022.0,21.0,1997.0,71298,184661
32,West Virginia,4,542.0,342.0,9.0,187.0,24230,62756
33,Wisconsin,15,1750.0,1519.0,40.0,1065.0,65496,169635
34,Wyoming,8,6523.0,716.0,14.0,110.0,97813,253335
